exp_id,scheduler,cpu,io,nice,mem_load,Average_TAT,Average_RT,Total_Experiment_Duration,CV_Fairness,T_run_queue,T_nvcsw_rate,T_vcsw_rate,T_cpu_percent,T_io_read_rate,T_io_write_rate,T_swap_rate
EXP_02_2277,tickless,1,8,0,0,0.44728772093023594,0.011369441176468091,2.0378299999999854,0.9127030376079643,5.796875,0.04577550498145756,69775.00910459078,67.48571428571428,14324393275216.021,9604423779263.383,1991391837911.3086
EXP_03_4445,tickless,1,8,0,12,0.8157504782608681,0.00784139884392766,8.714608999999996,0.9198014508382056,6.84228515625,-4.666730976655742,5506.988699690232,86.68333333333334,11771434664138.162,7876135432025.91,1654087375503.2283
EXP_04_1624,tickless,2,0,0,0,0.0972681060606042,0.0016074545454552497,2.069331000000034,1.6233319616173112,7.098005022321429,1.3014238569715124,86617.64879759385,67.37142857142858,27434693459957.184,11413329489960.455,2716197103900.88
EXP_05_5752,tickless,2,0,0,12,0.8515487986111098,0.006979024793386727,7.6501480000000015,0.9669634387487153,7.4608154296875,-0.2710353178716171,9657.140324483034,81.78333333333333,25619986442224.89,10653720341018.44,2555888285401.2026
EXP_06_9554,tickless,2,8,0,0,0.4805984318181864,0.011330953488374932,2.065394999999967,0.6504483600074937,7.56884765625,-0.11298342008298944,109672.72301328112,68.44285714285715,33072874801929.273,9509345279753.145,2408855604940.418
EXP_07_6354,tickless,2,8,0,12,0.9052053901098905,0.006112398843929493,9.163769000000002,0.9405772890354152,7.1485126201923075,23.30834799117404,3280.445897864358,91.78461538461539,38211019455840.234,10985410856463.781,2808255278542.4067
EXP_00_2279,rustland,1,0,0,0,0.13912389189189023,0.00187578947368126,2.0290149999999585,2.0377851641459745,6.849609375,42003.01651572215,8188.046774389595,73.54285714285713,60236772475056.35,13323856563195.623,3747291207778.476
EXP_01_1167,rustland,1,0,0,12,0.8475352388888887,0.0021197125000000485,10.15421299999997,0.767562582389335,7.688079833984375,-48.547111961486756,2694.049797895727,87.05625,14142643529710.768,3131068233103.8633,884835706582.2682
EXP_02_6019,rustland,1,8,0,0,0.44769379545454574,0.004618418604652931,2.0336869999999863,0.49615407299856196,8.0732421875,4611.839832756431,198745.98958962824,71.44285714285715,87496062439046.45,16612690089854.646,4988934114519.024
EXP_03_8096,rustland,1,8,0,12,0.9320096298701315,0.0025503311688328564,8.990229,0.677916440863132,8.08017578125,19061.789708902037,10971.011283146334,86.96000000000001,40258368199006.766,7667741550151.966,2310197335557.8843
EXP_04_4467,rustland,2,0,0,0,0.18959460526315747,0.0014010416666749848,2.042562000000032,1.123801555931175,8.1943359375,1402.149210962524,49425.650781319724,73.78571428571429,30702492387235.04,5191572679242.468,1631474025438.9783
EXP_05_8766,rustland,2,0,0,12,0.922149337837835,0.00262089130434432,8.439553999999987,0.8967019383304189,8.930138221153847,-1.804672558835801,5497.019216054594,81.73076923076923,40336484856489.37,6836047004159.768,2154341484670.6611
EXP_06_8650,rustland,2,8,0,0,0.48503619999999803,0.00581697777777966,2.03283399999998,0.5074243535233254,9.346958705357142,3692.3956343653444,107768.98258238705,71.82857142857144,97562077603312.17,13903470260394.139,4476639933176.644
EXP_07_5039,rustland,2,8,0,12,0.8974196084656093,0.003768807486629517,9.886198000000036,0.7189407123660229,10.52109375,17042.558496160487,10712.182694278254,87.45333333333333,56709726914805.98,8105664679618.392,2629722163181.149
